"filename", "language", "Properties", "HTML", "JSON", "JavaScript", "Markdown", "XML", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\templates\templateBuilder\FooterComponent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 4, 4, 40
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\templates\templateBuilder\HeaderComponent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 183, 0, 0, 19, 202
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\templates\templateBuilder\TemplateBuilder.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 254, 0, 2, 24, 280
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\templates\templateBuilder\WhatsAppPreview.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 85, 0, 4, 11, 100
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\hooks\useUserDetails.js", "JavaScript", 0, 0, 0, 60, 0, 0, 0, 0, 0, 10, 70
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 18, 2, 5, 25
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 4, 21
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\services\authService.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 0, 1, 9, 36
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\services\axiosInstance.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 1, 8, 32
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\services\credentialService.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 5, 4, 22
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\services\invoiceService.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 3, 6, 41
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\services\templateService.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 1, 4, 12
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\services\userService.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 3, 6, 27
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\tailwind.config.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 1, 1, 16
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\vite.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 1, 2, 9
"Total", "-", 1, 13, 5591, 231, 10, 2, 3683, 19, 548, 596, 10694
